Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
,,,,,,,,
,,,,,,,,
2,HSP7C_HUMAN,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,6666,71082,267,264,30,30
,,,,,,,,
3,HSP71_HUMAN,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5,6472,70294,276,269,28,27
,,,,,,,,
4,FTO_HUMAN,Protein fto OS=Homo sapiens GN=FTO PE=1 SV=3,4339,59043,268,255,32,32
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
7,HS71L_HUMAN,Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L PE=1 SV=2,3319,70730,115,115,10,10
,,,,,,,,
8,GRP75_HUMAN,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",3269,73920,214,190,23,23
,,,,,,,,
9,HSP72_HUMAN,Heat shock-related 70 kDa protein 2 OS=Homo sapiens GN=HSPA2 PE=1 SV=1,3220,70263,123,121,9,9
,,,,,,,,
10,ANM5_HUMAN,Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4,3107,73322,207,202,25,25
,,,,,,,,
11,GRP78_HUMAN,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,2456,72402,93,92,32,32
,,,,,,,,
12,LMNB1_HUMAN,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,1804,66653,68,64,34,33
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
16,KU70_HUMAN,ATP-dependent DNA helicase 2 subunit 1 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,809,70084,32,30,19,18
,,,,,,,,
,,,,,,,,
,,,,,,,,
18,LMNB2_HUMAN,Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3,710,67762,34,31,23,22
,,,,,,,,
19,NSF_HUMAN,Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3,641,83055,25,24,17,17
,,,,,,,,
20,RPN1_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1,640,68641,26,26,15,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
22,PABP1_HUMAN,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,575,70854,23,23,15,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
24,FUBP2_HUMAN,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=3,539,73443,20,20,14,14
,,,,,,,,
25,HS90B_HUMAN,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,532,83554,21,20,15,15
,,,,,,,,
26,HORN_HUMAN,Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2,530,283140,15,15,10,10
,,,,,,,,
