Protein hits,--------------------------------------------------------,,,,,,,
,,,,,,,,
prot_hit_num,prot_acc,prot_desc,prot_score,prot_mass,prot_matches,prot_matches_sig,prot_sequences,prot_sequences_sig
1,ACLY_HUMAN,ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,1320,121674,63,60,28,27
,,,,,,,,
2,HNRPU_HUMAN,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6,1221,91269,57,55,27,27
,,,,,,,,
3,ENPL_HUMAN,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,1139,92696,57,55,31,30
,,,,,,,,
4,EIF3C_HUMAN,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,1041,105962,51,47,28,27
,,,,,,,,
5,KINH_HUMAN,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,922,110358,37,36,30,29
,,,,,,,,
6,ACTN4_HUMAN,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,889,105245,47,46,27,26
,,,,,,,,
7,HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,870,95127,37,36,21,20
,,,,,,,,
8,KIF11_HUMAN,Kinesin-like protein KIF11 OS=Homo sapiens GN=KIF11 PE=1 SV=2,824,120111,38,38,24,24
,,,,,,,,
9,C1TC_HUMAN,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3",805,102180,35,33,24,24
,,,,,,,,
10,FLNA_HUMAN,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,793,283301,25,25,21,21
,,,,,,,,
11,MCM6_HUMAN,DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1,787,93801,29,29,18,18
,,,,,,,,
12,XPO2_HUMAN,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3,774,111145,36,34,27,25
,,,,,,,,
13,HS105_HUMAN,Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1,730,97716,35,34,24,23
,,,,,,,,
14,TIF1B_HUMAN,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,721,90261,35,35,23,23
,,,,,,,,
15,IPO5_HUMAN,Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,714,125032,25,25,14,14
,,,,,,,,
16,EF2_HUMAN,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,704,96246,35,35,22,22
,,,,,,,,
17,MCM2_HUMAN,DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4,704,102516,35,34,23,23
,,,,,,,,
18,NUCL_HUMAN,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,701,76625,42,42,21,21
,,,,,,,,
19,ACTN1_HUMAN,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2,692,103563,33,32,19,18
,,,,,,,,
20,SFPQ_HUMAN,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",689,76216,35,34,22,21
,,,,,,,,
21,PSMD1_HUMAN,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,637,106795,27,27,18,18
,,,,,,,,
22,DDB1_HUMAN,DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1,630,128142,35,33,25,23
,,,,,,,,
23,SF3A1_HUMAN,Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1,630,88888,29,26,20,18
,,,,,,,,
